"WO - ID - prefix","WO - ID - number","WO - ID","ID Solicitud de Acceso - prefix","ID Solicitud de Acceso - number","ID Solicitud de Acceso","ID Site de trabajo - prefix","ID Site de trabajo - number","ID Site de trabajo","ID Site de trabajo (Descargas Baterias) - prefix","ID Site de trabajo (Descargas Baterias) - number","ID Site de trabajo (Descargas Baterias)",Solicitante,Estado,"Fecha de creación","Ultimo cambio",Título,"Descripción del Trabajo",Tipo,"¿Impacto en el servicio?","Fecha de inicio del impacto del servicio","Fecha de finalización del impacto del servicio","Fecha ejecución","Estado Cierre","ID Ocean","Fecha próxima revisión","ID de emplazamiento - prefix","ID de emplazamiento - number","ID de emplazamiento","Trabajo completo","Trabajo realizado","Fin de trabajo (previsto)","Fin del trabajo","Inicio de obra","Inicio de obra (previsto)","Reconocimiento requerido","No empezar antes","coordenadas - Latitude - WGS 84","coordenadas - Longitude - WGS 84","coordenadas - Elevation",Razón,"Trabajo realizado","Trabajo por hacer","Próxima visita preventiva en","Próxima visita PM","¿Se requiere acceso al sitio?",Dominio,"Fecha de inicio prevista","Fecha de finalización prevista"
WO,2552,WO-2552,,,-,,,,SPA-LE,152,SPA-LE00152,"System Administrator",Cerrado,"2023-11-14 18:45:53","2023-11-15 12:07:28","2112311219645_LE0152-INSPECCION__OCA_-14-08-2020.PDF","2112311219645_LE0152-INSPECCION__OCA_-14-08-2020.PDF","Inspecciones (OCA)",NO,,,,,,14.08.2023,LO,3377,LO-003377,false,,,,,,false,2023-11-14,,,,,,,,,,,,
WO,4042,WO-4042,,,-,,,,SPA-ZX,522,SPA-ZX00522,"System Administrator",Cerrado,"2024-01-18 17:34:50","2024-01-18 18:02:02","010920523741_ZX0522-REV_MAT_13_07_23.PDF","010920523741_ZX0522-REV_MAT_13_07_23.PDF","Revision (MTO)",NO,,,,,,13.07.2024,LO,7778,LO-007778,false,,,,,,false,2024-01-18,,,,,,,,,,,,
WO,3770,WO-3770,,,-,,,,SPA-VA,2196,SPA-VA02196,"System Administrator",Cerrado,"2023-11-14 19:13:57","2023-11-15 12:22:54",2508385517380_VA2196.PDF,2508385517380_VA2196.PDF,"Revision (MTO)",NO,,,,,,,LO,7045,LO-007045,false,,,,,,false,2023-11-14,,,,,,,,,,,,
WO,2503,WO-2503,,,-,,,,SPA-VX,74,SPA-VX00074,"System Administrator",Cerrado,"2023-11-14 18:44:47","2023-11-15 12:25:06","2112310516090_VX0074-REVISION__MTO_-17-06-2020.DOC","2112310516090_VX0074-REVISION__MTO_-17-06-2020.DOC","Revision (MTO)",NO,,,,,,,LO,7254,LO-007254,false,,,,,,false,2023-11-14,,,,,,,,,,,,
WO,3722,WO-3722,,,-,,,,SPA-AB,6006,SPA-AB06006,"System Administrator",Cerrado,"2023-11-14 19:12:48","2023-11-15 12:17:12","2709420216021_AB6006_-_REV_MTO_05-09-2022.PDF","2709420216021_AB6006_-_REV_MTO_05-09-2022.PDF","Revision (MTO)",NO,,,,,,,LO,43,LO-000043,false,,,,,,false,2023-11-14,,,,,,,,,,,,
WO,2569,WO-2569,,,-,,,,SPA-LE,1691,SPA-LE01691,"System Administrator",Cerrado,"2023-11-14 18:46:16","2023-11-15 12:25:03","2112311320736_LE1691-INSPECCION__OCA_-11-08-2020.PDF","2112311320736_LE1691-INSPECCION__OCA_-11-08-2020.PDF","Inspecciones (OCA)",NO,,,,,,11.08.2023,LO,3464,LO-003464,false,,,,,,false,2023-11-14,,,,,,,,,,,,
WO,2024,WO-2024,,,-,,,,SPA-SA,5612,SPA-SA05612,"System Administrator",Cerrado,"2023-11-14 18:33:18","2023-11-15 12:17:46","2112300213579_SA5612-INSPECCION__OCA_-15-11-2019.PDF","2112300213579_SA5612-INSPECCION__OCA_-15-11-2019.PDF","Inspecciones (OCA)",NO,,,,,,15.11.2022,LO,5693,LO-005693,false,,,,,,false,2023-11-14,,,,,,,,,,,,
WO,2471,WO-2471,,,-,,,,SPA-AB,6318,SPA-AB06318,"System Administrator",Cerrado,"2023-11-14 18:44:02","2023-11-15 12:09:15","211230592401_AB6318-REVISION__MTO_-23-04-2020.DOC","211230592401_AB6318-REVISION__MTO_-23-04-2020.DOC","Revision (MTO)",NO,,,,,,,LO,65,LO-000065,false,,,,,,false,2023-11-14,,,,,,,,,,,,
WO,2032,WO-2032,,,-,,,,SPA-HU,7145,SPA-HU07145,"System Administrator",Cerrado,"2023-11-14 18:33:29","2023-11-15 12:06:16","2112300227753_HU7145-INSPECCION__OCA_-13-06-2019.PDF","2112300227753_HU7145-INSPECCION__OCA_-13-06-2019.PDF","Inspecciones (OCA)",NO,,,,,,13.06.2022,LO,2857,LO-002857,false,,,,,,false,2023-11-14,,,,,,,,,,,,
WO,4330,WO-4330,,,-,,,,SPA-SE,128,SPA-SE00128,"System Administrator",Cerrado,"2024-01-18 17:41:33","2024-01-18 18:04:57","2213464127222_01370302_ORANGE_ESPAGNE__SAU_SE0128_CT_PERIO_DESFAV.PDF","2213464127222_01370302_ORANGE_ESPAGNE__SAU_SE0128_CT_PERIO_DESFAV.PDF","Inspecciones (OCA)",NO,,,,,,,LO,5786,LO-005786,false,,,,,,false,2024-01-18,,,,,,,,,,,,
