"Id Emplazamiento - prefix","Id Emplazamiento - number","Id Emplazamiento","Id Site - prefix","Id Site - number","Id Site",Estado,Autor,"Fecha de Creación","Ultimo cambio",Nombre,"Coordinates - Latitude - WGS 84","Coordinates - Longitude - WGS 84","Coordinates - Elevation",Tags,"Referencia Catastral","Plot/Terrace azimuth","Wind zone","Plot / terrace length","Plot / terrace width","Mobile performed","Mobile username","Date of mobile report","Uso del Terreno","Clasificación del terreno","Tipología Propiedad","Tipo de Propiedad","24x7 Access","Dirección Catastral","Access Control","Tipo de Instalación","Causa Rechazo Candidato","Infrastructure type","Non-Feasibility Reason","Fiber Feasibility","Photo report raw"
LO,5329,LO-005329,SPA-OX,5901,SPA-OX05901,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 14:59:47",OX5901,43.078161,-5.767349,520.0,,24030A01400309,,,,,,,,Agrícola,Rústico,"Propietario único",Privado,Si,"Polígono 13 Parcela 569 ARTOSA.","No Restringido",Existente,,TORRE,,,
LO,7293,LO-007293,SPA-VX,136,SPA-VX00136,Activo,"Oscar Camps Solaesa",2023-05-24,"2023-11-15 14:51:59",VX0136,39.757701,-0.360197,197.0,,46030A00900103,,,,,,,,Agrícola,Rústico,"AAPP Privativo",Privado,Si,"Polígono 9 Parcela 3 CAMINO ALFARA.",Restringido,Existente,,TORRE,,,
LO,2275,LO-002275,SPA-CX,3052,SPA-CX03052,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 14:56:53",CX3052,43.051444,-8.373526,298.0,,15060A07900339,,,,,,,,Agrícola,Rústico,"Land Agg (Telecom Ib.)",Privado,Si,"Polígono 79 Parcela 339 GANDARON","No Restringido",Existente,,TORRE,,,
LO,2884,LO-002884,SPA-HU,7204,SPA-HU07204,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 14:48:02",HU7204,42.106205,0.487842,730.0,,2349103BG9624N,,,,,,,,Residencial,Urbano,"Propietario único",Privado,Si,"CR VALLE DE ARAN 4(A) Suelo 22580 BENABARRE .","No Restringido",Existente,,,,,
LO,6026,LO-006026,SPA-SE,9903,SPA-SE09903,Activo,"Oscar Camps Solaesa",2023-05-24,"2023-11-15 15:09:00",SE9903,37.384285,-5.972189,0.0,,7118010TG3471N,,,,,,,,Residencial,Urbano,"Propietario único",Privado,Si,,Restringido,Existente,,AZOTEA,,,
LO,5733,LO-005733,SPA-SA,6890,SPA-SA06890,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 15:01:30",SA6890,40.912994,-5.357346,833.0,,37012A50430183,,,,,,,,Agrícola,Rústico,"AAPP Privativo",Privado,Si,"Polígono 504 Parcela 30183. EL PRADO","No Restringido",Existente,,TORRE,,,
LO,8540,LO-008540,SPA-MU,8146,SPA-MU08146,Reservado,"Alexandre GOMBA",2024-01-10,"2024-01-10 15:36:02",MU8146,,,,,,,,,,,,,,,,,,,,Nuevo,,,,,
LO,7285,LO-007285,SPA-VX,125,SPA-VX00125,Activo,"Oscar Camps Solaesa",2023-05-24,"2023-11-15 14:51:58",VX0125,39.636308,-0.585752,177.0,,7203917YJ0970S,,,,,,,,Residencial,Urbano,"Propietario único",Privado,,"CL NAQUERA 2 Suelo",,Existente,,TORRE,,,
LO,3036,LO-003036,SPA-IB,43,SPA-IB00043,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 14:48:16",IB0043,39.977655,3.839647,3.0,,07015A01109000,,,,,,,,Residencial,Urbano,"Propietario único",Privado,Si,,Restringido,Existente,,AZOTEA,,,
LO,500,LO-000500,SPA-BI,318,SPA-BI00318,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 14:54:49",BI0318,43.307702,-3.002361,70.0,,46214A01509000,,,,,,,,Residencial,Urbano,"Comunidad Propietario",Privado,Si,,Restringido,Existente,,AZOTEA,,,
