"WO - ID - prefix","WO - ID - number","WO - ID","ID Solicitud de Acceso - prefix","ID Solicitud de Acceso - number","ID Solicitud de Acceso","ID Site de trabajo - prefix","ID Site de trabajo - number","ID Site de trabajo","ID Site de trabajo (Descargas Baterias) - prefix","ID Site de trabajo (Descargas Baterias) - number","ID Site de trabajo (Descargas Baterias)",Solicitante,Estado,"Fecha de creaciÃ³n","Ultimo cambio",TÃ­tulo,"DescripciÃ³n del Trabajo",Tipo,"Â¿Impacto en el servicio?","Fecha de inicio del impacto del servicio","Fecha de finalizaciÃ³n del impacto del servicio","Fecha ejecuciÃ³n","Estado Cierre","ID Ocean","Fecha prÃ³xima revisiÃ³n","ID de emplazamiento - prefix","ID de emplazamiento - number","ID de emplazamiento","Trabajo completo","Trabajo realizado","Fin de trabajo (previsto)","Fin del trabajo","Inicio de obra","Inicio de obra (previsto)","Reconocimiento requerido","No empezar antes","coordenadas - Latitude - WGS 84","coordenadas - Longitude - WGS 84","coordenadas - Elevation",RazÃ³n,"Trabajo realizado","Trabajo por hacer","PrÃ³xima visita preventiva en","PrÃ³xima visita PM","Â¿Se requiere acceso al sitio?",Dominio,"Fecha de inicio prevista","Fecha de finalizaciÃ³n prevista"
WO,2552,WO-2552,,,-,,,,SPA-LE,152,SPA-LE00152,"System Administrator",Cerrado,"2023-11-14 18:45:53","2023-11-15 12:07:28","2112311219645_LE0152-INSPECCION__OCA_-14-08-2020.PDF","2112311219645_LE0152-INSPECCION__OCA_-14-08-2020.PDF","Inspecciones (OCA)",NO,,,,,,14.08.2023,LO,3377,LO-003377,false,,,,,,false,2023-11-14,,,,,,,,,,,,
WO,3770,WO-3770,,,-,,,,SPA-VA,2196,SPA-VA02196,"System Administrator",Cerrado,"2023-11-14 19:13:57","2023-11-15 12:22:54",2508385517380_VA2196.PDF,2508385517380_VA2196.PDF,"Revision (MTO)",NO,,,,,,,LO,7045,LO-007045,false,,,,,,false,2023-11-14,,,,,,,,,,,,
WO,2503,WO-2503,,,-,,,,SPA-VX,74,SPA-VX00074,"System Administrator",Cerrado,"2023-11-14 18:44:47","2023-11-15 12:25:06","2112310516090_VX0074-REVISION__MTO_-17-06-2020.DOC","2112310516090_VX0074-REVISION__MTO_-17-06-2020.DOC","Revision (MTO)",NO,,,,,,,LO,7254,LO-007254,false,,,,,,false,2023-11-14,,,,,,,,,,,,
WO,913,WO-913,,,-,,,,SPA-LE,921,SPA-LE00921,"Delgado Alejandro",Cerrado,"2020-06-26 00:00:00","2023-09-07 20:16:10",Otros,,"Revision (MTO)",,,,,,,,LO,3423,LO-003423,false,,,,,,false,2023-05-08,,,,,,,,,,,,
WO,669,WO-669,,,-,,,,SPA-CX,410,SPA-CX00410,"Delgado Alejandro",Cerrado,"2020-05-11 00:00:00","2023-09-07 20:15:25",Otros,,"Revision (MTO)",,,,,,,,LO,2128,LO-002128,false,,,,,,false,2023-05-08,,,,,,,,,,,,
WO,764,WO-764,,,-,,,,SPA-VX,305,SPA-VX00305,"Delgado Alejandro",Cerrado,"2020-06-17 00:00:00","2023-09-07 20:15:43",Otros,,"Revision (MTO)",,,,,,,,LO,7329,LO-007329,false,,,,,,false,2023-05-08,,,,,,,,,,,,
WO,1012,WO-1012,,,-,,,,SPA-VA,2217,SPA-VA02217,"Delgado Alejandro",Cerrado,"2020-10-26 00:00:00","2023-09-07 20:16:29",Otros,,"Revision (MTO)",,,,,,,,LO,7060,LO-007060,false,,,,,,false,2023-05-08,,,,,,,,,,,,
WO,3722,WO-3722,,,-,,,,SPA-AB,6006,SPA-AB06006,"System Administrator",Cerrado,"2023-11-14 19:12:48","2023-11-15 12:17:12","2709420216021_AB6006_-_REV_MTO_05-09-2022.PDF","2709420216021_AB6006_-_REV_MTO_05-09-2022.PDF","Revision (MTO)",NO,,,,,,,LO,43,LO-000043,false,,,,,,false,2023-11-14,,,,,,,,,,,,
WO,1256,WO-1256,,,-,,,,SPA-MA,2633,SPA-MA02633,"Delgado Alejandro",Cerrado,"2021-10-22 16:49:00","2023-09-07 20:17:14","RevisiÃ³n MTO",,"Revision (MTO)",,,,,,,,LO,3863,LO-003863,false,,,,,,false,2023-05-08,,,,,,,,,,,,
WO,2569,WO-2569,,,-,,,,SPA-LE,1691,SPA-LE01691,"System Administrator",Cerrado,"2023-11-14 18:46:16","2023-11-15 12:25:03","2112311320736_LE1691-INSPECCION__OCA_-11-08-2020.PDF","2112311320736_LE1691-INSPECCION__OCA_-11-08-2020.PDF","Inspecciones (OCA)",NO,,,,,,11.08.2023,LO,3464,LO-003464,false,,,,,,false,2023-11-14,,,,,,,,,,,,
