"ID de la condición del beneficiario - prefix","ID de la condición del beneficiario - number","ID de la condición del beneficiario","Id Partes Relacionadas - prefix","Id Partes Relacionadas - number","Id Partes Relacionadas","Id Arrendamiento - prefix","Id Arrendamiento - number","Id Arrendamiento",Estado,Autor,"Ultimo cambio","Fecha de Creación","Fecha de Baja",Exención/Retención,"Renta Anual del Beneficiario",Autofacturación
Cond,30733,Cond-30733,RP,5717,RP-05717,L,17149,L-17149,Activo,"Alexandre GOMBA","2023-11-16 16:12:08",2023-11-16,,No,,Si
Cond,24436,Cond-24436,,,-,L,1448,L-01448,Inactivo,"Oscar Camps Solaesa","2023-09-07 21:43:32",2023-06-16,,No,7093.2,Si
Cond,13443,Cond-13443,RP,1039,RP-01039,L,1364,L-01364,Activo,"Delgado Alejandro","2023-10-20 17:04:08",2023-05-03,,Si,,Si
Cond,27174,Cond-27174,RP,1120,RP-01120,L,18205,L-18205,Activo,"Alexandre GOMBA","2023-10-20 16:17:36",2023-10-20,,No,,Si
Cond,16643,Cond-16643,RP,3193,RP-03193,L,4461,L-04461,Activo,"Delgado Alejandro","2023-10-20 17:09:43",2023-05-03,,Si,,Si
Cond,28504,Cond-28504,RP,21045,RP-21045,L,6790,L-06790,Activo,"Alexandre GOMBA","2023-10-20 16:41:20",2023-10-20,,No,,Si
Cond,31628,Cond-31628,RP,23834,RP-23834,L,15068,L-15068,Activo,"Alexandre GOMBA","2024-01-10 22:24:46",2024-01-10,,Si,,No
Cond,21411,Cond-21411,RP,6695,RP-06695,L,8990,L-08990,Activo,"Delgado Alejandro","2023-10-20 17:18:32",2023-05-03,,Si,,No
Cond,28459,Cond-28459,RP,19868,RP-19868,L,15474,L-15474,Activo,"Alexandre GOMBA","2023-10-20 16:40:33",2023-10-20,,No,,Si
Cond,28442,Cond-28442,RP,4694,RP-04694,L,18870,L-18870,Activo,"Alexandre GOMBA","2023-10-20 16:40:16",2023-10-20,,No,,Si
Cond,20455,Cond-20455,RP,5976,RP-05976,L,8095,L-08095,Activo,"Delgado Alejandro","2023-10-20 17:16:40",2023-05-03,,Si,,Si
