"Id Contrato Tenant - prefix","Id Contrato Tenant - number","Id Contrato Tenant","ID Tenant - prefix","ID Tenant - number","ID Tenant","ID Site - prefix","ID Site - number","ID Site",Estado,Autor,"Ultimo cambio","Fecha de Creación","Tipo de Contrato","Fecha firma de contrato","Fecha inicio de devengo","Vigencia inicial contrato","Mes de Revalorización","Base Imponible","Costes Recurrentes Adecuación",Periodicidad,Vencimiento,"Via de Pago","Fecha de inicio de devengo","Plazo inicial del contrato","Condiciones de pago","Número de versión","Fecha de inicio","Fecha final","Fecha de conclusión","Tipo de alquiler","Renta anual","Frecuencia de pago","Categoría de arrendamiento","Rol de la empresa"
TL,11773,TL-011773,TEN,10846,TEN-10846,SPA-SG,9159,SPA-SG09159,Activo,"Alexandre GOMBA","2023-11-29 15:53:08",2023-10-13,Alta,,2023-08-03,2030-01-01,1.0,6321.12,,Semestral,Vencido,Transferencia,,,,,,,,Fix,,,,Lessor
TL,12512,TL-012512,TEN,12040,TEN-12040,SPA-TO,151,SPA-TO00151,Activo,"Alexandre GOMBA","2023-11-29 15:48:03",2023-10-13,Alta,,,,10.0,15610.0,,Trimestral,Vencido,Transferencia,,,,,,,,Fix,,,,Lessor
TL,10030,TL-010030,TEN,5764,TEN-05764,SPA-MX,2026,SPA-MX02026,Activo,"Alexandre GOMBA","2023-12-12 17:15:29",2023-10-13,Alta,,2021-03-26,2031-03-26,4.0,21424.0,,Trimestral,Anticipado,Transferencia,,,,,,,,Fix,,,,Lessor
TL,12960,TL-012960,TEN,8899,TEN-08899,SPA-VA,2207,SPA-VA02207,Activo,"Alexandre GOMBA","2023-11-29 15:48:34",2023-10-13,Alta,,,,10.0,4303.0,,Trimestral,Vencido,Transferencia,,,,,,,,Fix,,,,Lessor
TL,12350,TL-012350,TEN,11995,TEN-11995,SPA-TF,6170,SPA-TF06170,Activo,"Alexandre GOMBA","2023-11-29 15:47:53",2023-10-13,Alta,,,,10.0,15610.0,,Trimestral,Vencido,Transferencia,,,,,,,,Fix,,,,Lessor
TL,8790,TL-008790,TEN,4378,TEN-04378,SPA-LU,8045,SPA-LU08045,Activo,"Alexandre GOMBA","2023-12-12 17:14:37",2023-10-13,Alta,,2010-12-16,2025-12-16,4.0,12360.0,,Trimestral,Anticipado,Transferencia,,,,,,,,Fix,,,,Lessor
TL,5232,TL-005232,TEN,851,TEN-00851,SPA-BU,4231,SPA-BU04231,Activo,"Alexandre GOMBA","2023-12-12 17:11:45",2023-10-13,Alta,,2010-07-31,2025-07-31,4.0,14729.0,,Trimestral,Anticipado,Transferencia,,,,,,,,Fix,,,,Lessor
TL,10386,TL-010386,TEN,6219,TEN-06219,SPA-MX,6291,SPA-MX06291,Activo,"Alexandre GOMBA","2023-11-29 15:42:57",2023-10-13,Alta,,,,10.0,20884.0,,Trimestral,Vencido,Transferencia,,,,,,,,Fix,,,,Lessor
TL,10038,TL-010038,TEN,5769,TEN-05769,SPA-MX,2047,SPA-MX02047,Activo,"Alexandre GOMBA","2023-12-12 17:15:30",2023-10-13,Alta,,2007-12-20,2027-12-20,4.0,16068.0,,Trimestral,Anticipado,Transferencia,,,,,,,,Fix,,,,Lessor
TL,13013,TL-013013,TEN,8918,TEN-08918,SPA-VA,2274,SPA-VA02274,Activo,"Alexandre GOMBA","2023-11-29 15:48:39",2023-10-13,Alta,,,,10.0,20884.0,,Trimestral,Vencido,Transferencia,,,,,,,,Fix,,,,Lessor
TL,9947,TL-009947,TEN,5542,TEN-05542,SPA-MX,1010,SPA-MX01010,Activo,"Alexandre GOMBA","2023-11-29 15:52:29",2023-10-13,Alta,,2022-01-01,2026-12-01,1.0,5264.11,,Semestral,Vencido,Transferencia,,,,,,,,Fix,,,,Lessor
TL,14229,TL-014229,TEN,12752,TEN-12752,SPA-MA,2762,SPA-MA02762,Activo,"Alexandre GOMBA","2023-11-22 17:50:08",2023-11-15,Alta,,2022-01-01,2027-01-01,1.0,1215.55,,Mensual,Vencido,Transferencia,,,,,,,,Fix,,,,Lessor
TL,4463,TL-004463,TEN,32,TEN-00032,SPA-AB,6029,SPA-AB06029,Activo,"Alexandre GOMBA","2023-12-12 17:10:59",2023-10-13,Alta,,2014-06-18,2024-06-18,4.0,16068.0,,Trimestral,Anticipado,Transferencia,,,,,,,,Fix,,,,Lessor
TL,9080,TL-009080,TEN,4669,TEN-04669,SPA-MA,2638,SPA-MA02638,Activo,"Alexandre GOMBA","2023-12-12 17:14:54",2023-10-13,Alta,,2002-09-10,2023-09-10,4.0,13390.0,,Trimestral,Anticipado,Transferencia,,,,,,,,Fix,,,,Lessor
TL,11468,TL-011468,TEN,7337,TEN-07337,SPA-SE,257,SPA-SE00257,Activo,"Alexandre GOMBA","2023-11-29 15:45:54",2023-10-13,Alta,,,,10.0,20884.0,,Trimestral,Vencido,Transferencia,,,,,,,,Fix,,,,Lessor
TL,8810,TL-008810,TEN,4587,TEN-04587,SPA-LU,8140,SPA-LU08140,Activo,"Alexandre GOMBA","2023-11-29 15:39:25",2023-10-13,Alta,,,,10.0,20293.0,,Trimestral,Vencido,Transferencia,,,,,,,,Fix,,,,Lessor
TL,10252,TL-010252,TEN,6096,TEN-06096,SPA-MX,3967,SPA-MX03967,Activo,"Alexandre GOMBA","2023-11-29 15:42:34",2023-10-13,Alta,,,,10.0,20884.0,,Trimestral,Vencido,Transferencia,,,,,,,,Fix,,,,Lessor
TL,9435,TL-009435,TEN,5213,TEN-05213,SPA-MU,592,SPA-MU00592,Activo,"Alexandre GOMBA","2023-11-29 15:52:21",2023-10-13,Alta,,2022-01-01,2029-12-12,1.0,11157.14,,Semestral,Vencido,Transferencia,,,,,,,,Fix,,,,Lessor
TL,4537,TL-004537,TEN,200,TEN-00200,SPA-AL,8934,SPA-AL08934,Activo,"Alexandre GOMBA","2023-11-29 15:30:07",2023-10-13,Alta,,,,10.0,15610.0,,Trimestral,Vencido,Transferencia,,,,,,,,Fix,,,,Lessor
TL,4888,TL-004888,TEN,502,TEN-00502,SPA-BA,136,SPA-BA00136,Activo,"Alexandre GOMBA","2023-11-29 15:30:54",2023-10-13,Alta,,,,10.0,20884.0,,Trimestral,Vencido,Transferencia,,,,,,,,Fix,,,,Lessor
TL,7311,TL-007311,TEN,3149,TEN-03149,SPA-GC,308,SPA-GC00308,Activo,"Alexandre GOMBA","2023-11-29 15:36:01",2023-10-13,Alta,,,,10.0,15610.0,,Trimestral,Vencido,Transferencia,,,,,,,,Fix,,,,Lessor
TL,4737,TL-004737,TEN,377,TEN-00377,SPA-AX,364,SPA-AX00364,Activo,"Alexandre GOMBA","2023-11-29 15:30:30",2023-10-13,Alta,,,,10.0,20293.0,,Trimestral,Vencido,Transferencia,,,,,,,,Fix,,,,Lessor
TL,9893,TL-009893,TEN,5709,TEN-05709,SPA-MX,682,SPA-MX00682,Activo,"Alexandre GOMBA","2023-11-29 15:41:56",2023-10-13,Alta,,,,10.0,20884.0,,Trimestral,Vencido,Transferencia,,,,,,,,Fix,,,,Lessor
TL,8640,TL-008640,TEN,4458,TEN-04458,SPA-LE,1823,SPA-LE01823,Activo,"Alexandre GOMBA","2023-11-29 15:38:59",2023-10-13,Alta,,,,10.0,20293.0,,Trimestral,Vencido,Transferencia,,,,,,,,Fix,,,,Lessor
TL,6187,TL-006187,TEN,1878,TEN-01878,SPA-BX,9944,SPA-BX09944,Activo,"Alexandre GOMBA","2023-11-29 15:33:36",2023-10-13,Alta,,,,10.0,20884.0,,Trimestral,Vencido,Transferencia,,,,,,,,Fix,,,,Lessor
TL,8621,TL-008621,TEN,4440,TEN-04440,SPA-LE,1725,SPA-LE01725,Activo,"Alexandre GOMBA","2023-11-29 15:38:56",2023-10-13,Alta,,,,10.0,20293.0,,Trimestral,Vencido,Transferencia,,,,,,,,Fix,,,,Lessor
TL,8783,TL-008783,TEN,4567,TEN-04567,SPA-LU,8040,SPA-LU08040,Activo,"Alexandre GOMBA","2023-11-29 15:39:21",2023-10-13,Alta,,,,10.0,20293.0,,Trimestral,Vencido,Transferencia,,,,,,,,Fix,,,,Lessor
TL,5762,TL-005762,TEN,1399,TEN-01399,SPA-BX,1022,SPA-BX01022,Activo,"Alexandre GOMBA","2023-12-12 17:12:14",2023-10-13,Alta,,2006-12-01,2026-12-01,4.0,7957.0,,Trimestral,Anticipado,Transferencia,,,,,,,,Fix,,,,Lessor
TL,10869,TL-010869,TEN,6733,TEN-06733,SPA-OX,2024,SPA-OX02024,Activo,"Alexandre GOMBA","2023-11-29 15:44:15",2023-10-13,Alta,,,,10.0,20293.0,,Trimestral,Vencido,Transferencia,,,,,,,,Fix,,,,Lessor
TL,4956,TL-004956,TEN,666,TEN-00666,SPA-BI,9,SPA-BI00009,Activo,"Alexandre GOMBA","2023-11-29 15:31:05",2023-10-13,Alta,,,,10.0,20884.0,,Trimestral,Vencido,Transferencia,,,,,,,,Fix,,,,Lessor
TL,2946,TL-002946,TEN,6544,TEN-06544,,,,Activo,"Oscar Camps Solaesa","2023-11-22 17:45:11",2007-10-31,Alta,,2007-10-31,2027-10-31,4.0,3278.0,,Trimestral,Anticipado,Transferencia,2007-10-31,,"Trimestral anticipado,transferencia bancaria",,2007-10-31,,,Fix,"1335.0 EUR",,,Lessor
TL,9323,TL-009323,TEN,4925,TEN-04925,SPA-MU,124,SPA-MU00124,Activo,"Alexandre GOMBA","2023-11-29 15:52:18",2023-10-13,Alta,,2022-01-01,2029-09-08,1.0,11157.14,,Semestral,Vencido,Transferencia,,,,,,,,Fix,,,,Lessor
TL,8799,TL-008799,TEN,4579,TEN-04579,SPA-LU,8080,SPA-LU08080,Activo,"Alexandre GOMBA","2023-11-29 15:39:23",2023-10-13,Alta,,,,10.0,20293.0,,Trimestral,Vencido,Transferencia,,,,,,,,Fix,,,,Lessor
TL,13572,TL-013572,TEN,11117,TEN-11117,SPA-VX,1538,SPA-VX01538,Activo,"Alexandre GOMBA","2023-11-29 15:53:53",2023-10-13,Alta,,2022-01-01,2030-06-30,1.0,10332.01,,Semestral,Vencido,Transferencia,,,,,,,,Fix,,,,Lessor
TL,12889,TL-012889,TEN,12135,TEN-12135,SPA-VA,2117,SPA-VA02117,Activo,"Alexandre GOMBA","2023-11-29 15:48:26",2023-10-13,Alta,,,,10.0,20884.0,,Trimestral,Vencido,Transferencia,,,,,,,,Fix,,,,Lessor
TL,10572,TL-010572,TEN,6323,TEN-06323,SPA-NA,1032,SPA-NA01032,Activo,"Alexandre GOMBA","2023-12-12 17:16:03",2023-10-13,Alta,,2013-11-08,2023-11-08,4.0,16068.0,,Trimestral,Anticipado,Transferencia,,,,,,,,Fix,,,,Lessor
TL,13330,TL-013330,TEN,12255,TEN-12255,SPA-VX,373,SPA-VX00373,Activo,"Alexandre GOMBA","2023-12-12 17:18:46",2023-10-13,Alta,,2006-12-07,2026-12-07,4.0,11776.0,,Trimestral,Anticipado,Transferencia,,,,,,,,Fix,,,,Lessor
TL,12513,TL-012513,TEN,10952,TEN-10952,SPA-TO,151,SPA-TO00151,Activo,"Alexandre GOMBA","2023-12-12 17:17:26",2023-10-13,Alta,,2023-02-17,2033-02-17,4.0,11330.0,,Trimestral,Anticipado,Transferencia,,,,,,,,Fix,,,,Lessor
TL,6009,TL-006009,TEN,1732,TEN-01732,SPA-BX,2450,SPA-BX02450,Activo,"Alexandre GOMBA","2023-11-29 15:33:07",2023-10-13,Alta,,,,10.0,15610.0,,Trimestral,Vencido,Transferencia,,,,,,,,Fix,,,,Lessor
TL,13713,TL-013713,TEN,9701,TEN-09701,SPA-ZA,7506,SPA-ZA07506,Activo,"Alexandre GOMBA","2023-11-29 15:49:59",2023-10-13,Alta,,,,10.0,20293.0,,Trimestral,Vencido,Transferencia,,,,,,,,Fix,,,,Lessor
TL,8875,TL-008875,TEN,4613,TEN-04613,SPA-LX,9425,SPA-LX09425,Activo,"Alexandre GOMBA","2023-12-12 17:14:42",2023-10-13,Alta,,2017-02-01,2027-02-01,4.0,16068.0,,Trimestral,Anticipado,Transferencia,,,,,,,,Fix,,,,Lessor
TL,5835,TL-005835,TEN,1489,TEN-01489,SPA-BX,1522,SPA-BX01522,Activo,"Alexandre GOMBA","2023-11-29 15:51:00",2023-10-13,Alta,,2022-01-01,2026-07-20,1.0,14459.96,,Semestral,Vencido,Transferencia,,,,,,,,Fix,,,,Lessor
TL,8587,TL-008587,TEN,4409,TEN-04409,SPA-LE,1546,SPA-LE01546,Activo,"Alexandre GOMBA","2023-11-29 15:38:50",2023-10-13,Alta,,,,10.0,20293.0,,Trimestral,Vencido,Transferencia,,,,,,,,Fix,,,,Lessor
TL,760,TL-000760,TEN,1718,TEN-01718,SPA-BX,2737,SPA-BX02737,Activo,"Oscar Camps Solaesa","2023-11-29 15:51:08",2022-02-01,Alta,,2022-01-01,2026-10-28,1.0,14459.96,,Semestral,Vencido,Transferencia,2022-03-01,,"Semestral anticipado,transferencia bancaria",,2022-02-01,,,Fix,"9150.48 EUR",,,Lessor
TL,10157,TL-010157,TEN,5820,TEN-05820,SPA-MX,3424,SPA-MX03424,Activo,"Alexandre GOMBA","2023-12-12 17:15:41",2023-10-13,Alta,,2020-01-14,2030-01-14,4.0,16068.0,,Trimestral,Anticipado,Transferencia,,,,,,,,Fix,,,,Lessor
TL,14085,TL-014085,TEN,12438,TEN-12438,SPA-MX,3710,SPA-MX03710,Activo,"Alexandre GOMBA","2023-11-22 17:49:39",2023-11-15,Alta,,,,1.0,5639.32,,Trimestral,Anticipado,Transferencia,,,,,,,,Fix,,,,Lessor
TL,7658,TL-007658,TEN,3439,TEN-03439,SPA-GR,6118,SPA-GR06118,Activo,"Alexandre GOMBA","2023-11-29 15:36:34",2023-10-13,Alta,,,,10.0,20293.0,,Trimestral,Vencido,Transferencia,,,,,,,,Fix,,,,Lessor
TL,8405,TL-008405,TEN,4195,TEN-04195,SPA-JX,7925,SPA-JX07925,Activo,"Alexandre GOMBA","2023-11-29 15:38:19",2023-10-13,Alta,,,,10.0,20293.0,,Trimestral,Vencido,Transferencia,,,,,,,,Fix,,,,Lessor
