"ID de la Hoja de Acceso - prefix","ID de la Hoja de Acceso - number","ID de la Hoja de Acceso","Emplazamiento - prefix","Emplazamiento - number",Emplazamiento,Estado,Autor,"Ultimo cambio","Fecha de CreaciÃ³n","Â¿AutorizaciÃ³n CAE?","VÃ­a de acceso","VehÃ­culo Recomendado","Compuerta de vehÃ­culos (Ancho x Altura)","Escalera (Largo x Ancho)","Escaleras (Largo x Ancho x Altura)","Ascensor (Largo x Ancho x Altura)","Ventana Horario Acceso","Plazo NotificaciÃ³n","Presencia Propietario","Tipo de AutorizaciÃ³n","Condiciones Especiales","Tipo llave","InformaciÃ³n adicional"
AS,10073,AS-10073,LO,2264,LO-002264,Activo,"Delgado Alejandro","2024-01-16 11:46:07",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,Restringido,"Enviar correo a uficor con copia de cesec, y esperar confirmaciÃ³n.--Centro de Seguridad central: cesec@unionfenosa.es. 91 567 64 04--Fax:91 567 61 87",,
AS,14244,AS-14244,LO,6446,LO-006446,Activo,"Delgado Alejandro","2024-01-16 12:04:44",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,"No Restringido",,,
AS,13631,AS-13631,LO,5832,LO-005832,Activo,"Delgado Alejandro","2024-01-16 12:01:57",2023-05-25,Si,,,,,,,"Acceso 24x7x365",,,"No Restringido","si no se tiene llave, solicitar a CCN llave Abloy Endesa armario 11, posicion 88, en PICA. NSN actualizado 13.6.13",Locken,"SE HA INSTALADO LOCKEN EN LA PUERTA DE LASUBESTACIÃN CONTENIENDO LA LLAVE DE ACCESO A AL MISMA. NOV.08"
AS,13207,AS-13207,LO,5408,LO-005408,Activo,"Delgado Alejandro","2024-01-16 12:00:07",2023-05-25,No,,,,,,,,,,Restringido,"EDIFICIO PRINCIPADO--Solicitar aceso- impsat@asturias.org --Nombre: Javier. MÃ³vil: 661704458 Mantenimiento--",,"EDIFICIO PRINCIPADO--"
AS,15235,AS-15235,LO,7439,LO-007439,Activo,"Delgado Alejandro","2024-01-16 12:09:20",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,"No Restringido",,Locken,
AS,15636,AS-15636,LO,7840,LO-007840,Activo,"Delgado Alejandro","2024-01-16 11:54:07",2023-07-21,No,,,,,,,,,,"No Restringido",,,
AS,8752,AS-08752,LO,940,LO-000940,Activo,"Delgado Alejandro","2024-01-16 11:40:12",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,Restringido,"IMPORTANTE : ACCESO COMPLICADO CON CONDICIONES CLIMATOLOGICAS ADVERSAS",Locken,
AS,8288,AS-08288,LO,475,LO-000475,Activo,"Delgado Alejandro","2024-01-16 11:38:06",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,Restringido,,,
AS,8644,AS-08644,LO,832,LO-000832,Activo,"Delgado Alejandro","2024-01-10 20:52:24",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,"No Restringido",,Locken,"21/10/2008. LLAVES ACTUALES EN BOMBIN Y EN LA OFICINA."
AS,15465,AS-15465,LO,7670,LO-007670,Activo,"Delgado Alejandro","2024-01-16 12:10:23",2023-05-25,No,,,,,,,,,,"No Restringido",,,
AS,8753,AS-08753,LO,941,LO-000941,Activo,"Delgado Alejandro","2024-01-16 11:40:13",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,"No Restringido",,Locken,
AS,10338,AS-10338,LO,2530,LO-002530,Activo,"Delgado Alejandro","2024-01-16 11:47:21",2023-05-25,No,,,,,,,,,,Restringido,,,
AS,9906,AS-09906,LO,2097,LO-002097,Activo,"Delgado Alejandro","2024-01-16 11:45:20",2023-05-25,No,,Indiferente,Indiferente,,,,"Acceso 24x7x365",,,"No Restringido",,"Llave Abloy",
AS,15482,AS-15482,LO,7687,LO-007687,Activo,"Delgado Alejandro","2024-01-16 12:10:27",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,"No Restringido",,Locken,
AS,7898,AS-07898,LO,85,LO-000085,Activo,"Delgado Alejandro","2024-01-16 11:36:17",2023-05-25,No,,Indiferente,Indiferente,,,,"Acceso 24x7x365",,,"No Restringido","MÃVIL: 661745806","Llave Abloy",
AS,13099,AS-13099,LO,5300,LO-005300,Activo,"Delgado Alejandro","2024-01-16 11:59:36",2023-05-25,No,,Indiferente,Indiferente,,,,"Acceso 24x7x365",,,"No Restringido",,Locken,
AS,13914,AS-13914,LO,6115,LO-006115,Activo,"Delgado Alejandro","2024-01-16 12:03:08",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,"No Restringido","OTRO PHONE, 975343433","Llave Abloy",
AS,11879,AS-11879,LO,4072,LO-004072,Activo,"Delgado Alejandro","2024-01-16 11:54:35",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,"No Restringido",,Locken,
AS,8878,AS-08878,LO,1066,LO-001066,Activo,"Delgado Alejandro","2024-01-10 20:52:58",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,Restringido,,,
AS,11140,AS-11140,LO,3333,LO-003333,Activo,"Delgado Alejandro","2024-01-10 20:58:32",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,Restringido,"ACCESO POR PROCEDIMIENTO UCAGECI. web ECI: http://ecisp.elcorteingles.es. A partir Enero/2009.--Contratas deberÃ¡n cargar los datos de los operarios para acceso.",,
AS,11567,AS-11567,LO,3760,LO-003760,Activo,"Delgado Alejandro","2024-01-16 11:53:07",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,"No Restringido",,,
AS,15456,AS-15456,LO,7661,LO-007661,Activo,"Delgado Alejandro","2024-01-16 12:10:20",2023-05-25,No,,,,,,,,,,Restringido,"horÃ¡rio comercial diurno",,
AS,8777,AS-08777,LO,965,LO-000965,Activo,"Delgado Alejandro","2024-01-16 11:40:18",2023-05-25,No,,,,,,,,,,"No Restringido",,,
AS,14320,AS-14320,LO,6522,LO-006522,Activo,"Delgado Alejandro","2024-01-16 12:05:04",2023-05-25,Si,,,,,,,"Acceso 24x7x365",,,Restringido,,,
AS,13202,AS-13202,LO,5403,LO-005403,Activo,"Delgado Alejandro","2024-01-16 12:00:05",2023-05-25,No,,,,,,,,,,"No Restringido",,,
AS,8680,AS-08680,LO,868,LO-000868,Activo,"Delgado Alejandro","2024-01-16 11:39:55",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,Restringido,"el acceso a la cubierta para las labores de mantenimiento estarÃ¡restringido, habiÃ©ndose de programar con 72 horas de antelaciÃ³n, previacomunicaciÃ³n con el Sr. FORNEIRO GONZALEZ, JESUS al 679956666",,
AS,9207,AS-09207,LO,1396,LO-001396,Activo,"Delgado Alejandro","2024-01-10 20:53:48",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,Restringido,,,
AS,12808,AS-12808,LO,5009,LO-005009,Activo,"Delgado Alejandro","2024-01-16 11:58:12",2023-05-25,No,,,,,,,,,,Restringido,"Listado de tÃ©cnicos en Seguridad para urgencias por pÃ©rdida de servicio en fin de semana y festivos(SM.Jun.2016)",,
AS,9462,AS-09462,LO,1651,LO-001651,Activo,"Delgado Alejandro","2024-01-16 11:43:12",2023-05-25,No,,,,,,,,,,"No Restringido",,,
AS,14357,AS-14357,LO,6559,LO-006559,Activo,"Delgado Alejandro","2024-01-16 12:05:14",2023-05-25,Si,,,,,,,"Acceso 24x7x365",,,Restringido,"Contacto jefe SSTT: 635534147 Francisco ",,
AS,14690,AS-14690,LO,6892,LO-006892,Activo,"Delgado Alejandro","2024-01-16 12:06:48",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,"No Restringido",,Locken,
AS,11723,AS-11723,LO,3916,LO-003916,Activo,"Delgado Alejandro","2024-01-16 11:53:52",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,"No Restringido",,Locken,
AS,12573,AS-12573,LO,4773,LO-004773,Activo,"Delgado Alejandro","2024-01-16 11:57:26",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,"No Restringido",,Locken,
AS,15120,AS-15120,LO,7323,LO-007323,Activo,"Delgado Alejandro","2024-01-16 12:08:47",2023-05-25,No,,,,,,,,,,"No Restringido",,,
AS,9727,AS-09727,LO,1917,LO-001917,Activo,"Delgado Alejandro","2024-01-16 11:44:28",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,"No Restringido",,Locken,
AS,12107,AS-12107,LO,4300,LO-004300,Activo,"Delgado Alejandro","2024-01-16 11:55:34",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,Restringido,,Locken,
AS,9854,AS-09854,LO,2044,LO-002044,Activo,"Delgado Alejandro","2024-01-16 11:45:07",2023-05-25,No,,4x4,4x4,,,,"Acceso 24x7x365",,,"No Restringido",,,
AS,7878,AS-07878,LO,64,LO-000064,Activo,"Delgado Alejandro","2024-01-16 11:36:10",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,"No Restringido",,Locken,"Actualizado pinza 29/08/2011."
AS,12840,AS-12840,LO,5041,LO-005041,Activo,"Delgado Alejandro","2024-01-16 11:58:26",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,"No Restringido",,,
AS,13180,AS-13180,LO,5381,LO-005381,Activo,"Delgado Alejandro","2024-01-16 12:00:00",2023-05-25,No,,,,,,,"Acceso 24x7x365",,,"No Restringido",,"Llave Abloy",
