"ID Riesgo - prefix","ID Riesgo - number","ID Riesgo","ID Site - prefix","ID Site - number","ID Site",Estado,Autor,"Ultimo cambio","Fecha de CreaciÃ³n",Priorizado,"Fecha SoluciÃ³n Riesgo","Motivo del Riesgo","Criticidad del Riesgo","Fecha Necesidad","Impacto del Punto","Gravedad del Riesgo",Descripcion,"ID Legacy"
RM,1073,RM-1073,SPA-VX,13,SPA-VX00013,Abierto,"Delgado Alejandro","2023-12-12 18:23:10",2021-10-21,,,,"criticidad alta < 6 meses",2024-04-30,,3,"W42: Se incluye el punto en riesgo. No se ha abordado nunca por su complejidad y porque requiere permisos de Propiedad. Hay que quitar los tres mÃ¡stiles y meter un autosoportado de 3x3m. Al menos hemos conseguido que no se mueva caseta.",218209
RM,1221,RM-1221,SPA-MX,439,SPA-MX00439,Abierto,"Delgado Alejandro","2023-12-05 15:27:49",2023-05-10,,,,"criticidad baja > 9 meses",2024-12-21,,1,"QSUIEREN RENEGOCIAR CONDICIONES O DENUNCIARAN AL VENCIMIENTO",232837
RM,1370,RM-1370,SPA-BX,2722,SPA-BX02722,Abierto,"Delgado Alejandro","2023-12-05 15:28:47",2020-07-13,,,,"criticidad muy alta < 3 meses",2020-08-07,,2,"SE INCLUYE EL RIESGO DE TELECOM IBERICA PARA BUSCAR ALTERNATIVA",147565
RM,1685,RM-1685,SPA-SE,321,SPA-SE00321,Cerrado,"Delgado Alejandro","2023-12-05 15:41:13",2020-01-30,,2020-04-24,,"criticidad muy alta < 3 meses",2020-02-13,,,"Propiedad estÃ¡ haciendo reformas y necesita que reubiquemos la EB, incluimos en repliegue para dotar a G. propiedades de DiseÃ±o Radio y SupervisiÃ³n de Obra.",115535
RM,10092,RM-10092,SPA-VA,38,SPA-VA00038,Abierto,"Alexandre GOMBA","2023-12-05 15:24:30",2023-03-29,,,,"criticidad muy alta < 3 meses",2023-06-16,,2,"Esto no es una negociaciÃ³n, es una ocupaciÃ³n en dominio pÃºblico con lo que hay que contactar con el Ayuntamiento y aclarar la situaciÃ³n ya que aquÃ­ se va a instalar VDF en Jumping y no podemos estar con esta incertidumbre sin tener certeza de la fecha real de vencimiento de la concesiÃ³n. Es un contrato del Plan rural, por eso es tan precario. EstÃ¡ legalizado, y no respondieron a la escisiÃ³n.",231908
RM,10001,RM-10001,SPA-CO,7615,SPA-CO07615,Cerrado,"Alexandre GOMBA","2024-01-12 10:50:16",2023-10-19,,2023-12-02,Propiedad,"criticidad muy alta < 3 meses",2023-11-01,,1,,235823
RM,480,RM-480,SPA-IB,17,SPA-IB00017,Abierto,"Delgado Alejandro","2023-12-05 15:40:40",2022-12-20,,,,"criticidad baja > 9 meses",2025-02-17,,1,"W50 2022: La  propiedad solicita a anulacion del contrato por haber subarrenfdado a VDF sin su consentimiento",229676
RM,679,RM-679,SPA-MX,815,SPA-MX00815,Cerrado,"Delgado Alejandro","2023-12-05 15:27:15",2022-03-10,,2023-03-15,,"criticidad muy alta < 3 meses",2023-04-29,,,"W10 2022: Se incluye el punto en riesgo, recibido burofax de rescisiÃ³n con fecha de vencimiento 29/04/2023.",223307
RM,76,RM-76,SPA-BI,146,SPA-BI00146,Abierto,"Delgado Alejandro","2023-12-05 15:29:02",2023-01-01,,,,"criticidad muy alta < 3 meses",2023-04-16,,2,"Recibido burofax de rescision por parte de TI.",229839
RM,1832,RM-1832,SPA-CX,2014,SPA-CX02014,Abierto,"Delgado Alejandro","2023-12-12 18:22:56",2023-07-14,,,,"criticidad muy alta < 3 meses",2024-03-17,,1,"Recibido burofax en tiempo y forma",234085
RM,9999,RM-9999,SPA-MU,6305,SPA-MU06305,Abierto,"Alexandre GOMBA","2023-12-05 15:28:53",2023-10-20,,,,"criticidad baja > 9 meses",2026-06-17,,1,"No es viable incrementar la vigencia hasta 2031 siendo una instalaciÃ³n con una unidad mÃ³vil y no una infraestructura permanente viendo las condiciones que exige la propiedad. Vamos adelante con la firma del despliegue de la FO y tenemos que mirar de replegarnos en 2026 cuando venza el contrato.",235836
RM,1232,RM-1232,SPA-OR,8705,SPA-OR08705,Abierto,"Delgado Alejandro","2023-12-05 15:23:47",2023-05-10,,,,"criticidad baja > 9 meses",2025-07-17,,1,"Tenemos esta RNG por ampliaciÃ³n y tras ofrecerle a la comunidad primero una subida del 10% y posteriormente tras la negativa un 20% a lo que nos dicen que la comunidad no va a aceptar la ampliaciÃ³n a no ser que la subida sea de un 30%. Vence 17/07/2025",232831
RM,194,RM-194,SPA-GC,194,SPA-GC00194,Abierto,"Alexandre GOMBA","2023-12-05 15:23:15",2022-10-21,,,,"criticidad baja > 9 meses",2025-12-01,,2,"W42:Se incluye punto en riesgo. En este site, se tiene problemas de ruidos y trabajos parados porque la propiedad lleva un aÃ±o quejÃ¡ndose; se replantearÃ¡ y acordarÃ¡ una nueva ubicaciÃ³n con la propiedad..",228676
RM,1360,RM-1360,SPA-BX,989,SPA-BX00989,Cerrado,"Delgado Alejandro","2023-12-05 15:43:30",2018-10-26,,2019-04-18,,"criticidad baja > 9 meses",2019-08-10,,,"Site pte  01/04/14: Afectada x Servidumbres AeronÃ¡uticas. No se ha Presentado estudio --> La mantenemos en riesgo bajo",48394
RM,1413,RM-1413,SPA-CR,3108,SPA-CR03108,Cerrado,"Delgado Alejandro","2023-12-05 15:43:36",2018-10-26,,2018-11-15,,"criticidad media < 9 meses",2019-07-30,,,,48466
RM,978,RM-978,SPA-TO,162,SPA-TO00162,Abierto,"Delgado Alejandro","2023-12-05 15:23:41",2022-08-09,,,,"criticidad muy alta < 3 meses",2023-07-29,,2,"W32: Se incluye el punto en riesgo,  cesiÃ³n Telecom IbÃ©rica.",227090
RM,130,RM-130,SPA-BX,525,SPA-BX00525,Cerrado,"Delgado Alejandro","2023-12-05 15:24:01",2022-06-10,,2023-09-08,,"criticidad muy alta < 3 meses",2023-11-04,,,"W23 2022: Se incluye el punto en riesgo, por la situaciÃ³n del efificio con el bloqueo del acceso.",226082
RM,1108,RM-1108,SPA-ZX,34,SPA-ZX00034,Cerrado,"Delgado Alejandro","2023-12-05 15:23:21",2022-10-13,,2022-11-26,,"criticidad baja > 9 meses",2033-12-22,,,"W41: Se incluye punto en riesgo; Propiedad envÃ­a burofax indicando que el sector 2 estÃ¡ en la propiedad del vecino y hay que reubicarlo para finalizar la rng.",228531
RM,339,RM-339,SPA-GC,22,SPA-GC00022,Abierto,"Delgado Alejandro","2023-12-05 15:27:57",2022-02-15,Si,,,"criticidad alta < 6 meses",2024-04-09,,1,"W06: Se incluye el punto en riesgo para buscar alternativa mÃ¡s allÃ¡ del 09/04/2024",222494
RM,1251,RM-1251,SPA-VI,8624,SPA-VI08624,Cerrado,"Delgado Alejandro","2023-12-05 15:28:04",2023-05-11,,2023-10-26,,"criticidad muy alta < 3 meses",2023-10-20,,,"ENVIADO BUROFAX EN TIEMPO Y FORMA",232878
RM,21,RM-21,SPA-BA,114,SPA-BA00114,Cerrado,"Delgado Alejandro","2023-12-05 15:27:29",2022-02-25,,2023-10-23,,"criticidad muy alta < 3 meses",2023-06-30,,2,"W08 2022: Se declara en riesgo el emplazamiento por los continuos bloqueos de acceso de la propiedad y los problemas que pone para ampliaciones porque se agarran a la literalidad del contrato original.",222830
