"ID Riesgo - prefix","ID Riesgo - number","ID Riesgo","ID Site - prefix","ID Site - number","ID Site",Estado,Autor,"Ultimo cambio","Fecha de Creación",Priorizado,"Fecha Solución Riesgo","Motivo del Riesgo","Criticidad del Riesgo","Fecha Necesidad","Impacto del Punto","Gravedad del Riesgo",Descripcion,"ID Legacy"
RM,10189,RM-10189,SPA-BU,30,SPA-BU00030,Abierto,"Alexandre GOMBA","2024-01-17 10:47:24",2024-01-01,,,"Intervención de la Propiedad","criticidad muy alta < 3 meses",2024-03-12,,2,"Hay una queja de la propiedad en el site BU003C (El edificio al parecer se está deteriorando mucho y Orange tendría que plantearse mover dicho armario pues tiene mucho peso para estar ubicado donde está y puede seguir provocando daños estructurales muy importantes.)",237042
RM,1221,RM-1221,SPA-MX,439,SPA-MX00439,Abierto,"Delgado Alejandro","2024-01-17 10:48:12",2023-05-10,,,Propiedad,"criticidad baja > 9 meses",2024-12-21,,1,"QSUIEREN RENEGOCIAR CONDICIONES O DENUNCIARAN AL VENCIMIENTO",232837
RM,1073,RM-1073,SPA-VX,13,SPA-VX00013,Abierto,"Delgado Alejandro","2024-01-28 22:12:45",2021-10-21,,,"Legalización, Intervención de la Propiedad","criticidad muy alta < 3 meses",2024-04-30,,1,"W42: Se incluye el punto en riesgo. No se ha abordado nunca por su complejidad y porque requiere permisos de Propiedad. Hay que quitar los tres mástiles y meter un autosoportado de 3x3m. Al menos hemos conseguido que no se mueva caseta.",218209
RM,1370,RM-1370,SPA-BX,2722,SPA-BX02722,Abierto,"Delgado Alejandro","2024-01-17 10:49:47",2020-07-13,,,Propiedad,"criticidad muy alta < 3 meses",2020-08-07,,2,"SE INCLUYE EL RIESGO DE TELECOM IBERICA PARA BUSCAR ALTERNATIVA",147565
RM,1685,RM-1685,SPA-SE,321,SPA-SE00321,Cerrado,"Delgado Alejandro","2024-01-17 10:49:56",2020-01-30,,2020-04-24,"Intervención de la Propiedad","criticidad muy alta < 3 meses",2020-02-13,,,"Propiedad está haciendo reformas y necesita que reubiquemos la EB, incluimos en repliegue para dotar a G. propiedades de Diseño Radio y Supervisión de Obra.",115535
RM,10092,RM-10092,SPA-VA,38,SPA-VA00038,Abierto,"Alexandre GOMBA","2024-01-17 10:48:20",2023-03-29,,,Propiedad,"criticidad muy alta < 3 meses",2023-06-16,,2,"Esto no es una negociación, es una ocupación en dominio público con lo que hay que contactar con el Ayuntamiento y aclarar la situación ya que aquí se va a instalar VDF en Jumping y no podemos estar con esta incertidumbre sin tener certeza de la fecha real de vencimiento de la concesión. Es un contrato del Plan rural, por eso es tan precario. Está legalizado, y no respondieron a la escisión.",231908
RM,10001,RM-10001,SPA-CO,7615,SPA-CO07615,Cerrado,"Alexandre GOMBA","2024-01-18 23:51:27",2023-10-19,,2023-12-02,Propiedad,"criticidad muy alta < 3 meses",2023-11-01,,,"El representante de la propiedad nos comenta que quieren que se desmonte la estación, no quieren negociar absolutamente nada. No obstante, nos da un plazo para que busquemos otro emplazamiento bajo las siguientes condiciones: 

-	Si se aceptan sus condiciones en el plazo de una semana: Renta: 1.500€/mes, más el consumo
-	Si no se contesta en dicho plazo, ya verá si solicita 2.000€ o 3.000€ al mes, porque su deseo real es que se desmonte por el descontento generalizado tanto con Tótem como con Orange en su día.
-	Si no hay noticias sobre el acuerdo, el día 01/11 corta la luz. Por mucho que tengamos vigencia hasta 2025 (aunque se le ha dicho por activa y por pasiva en la negociación del prepayment, que el contrato está en precario y que con un mes se puede resolver...), al cortar la luz, de poco sirve que siga vigente hasta 2025.",235823
RM,480,RM-480,SPA-IB,17,SPA-IB00017,Abierto,"Delgado Alejandro","2024-01-17 10:48:42",2022-12-20,,,Propiedad,"criticidad baja > 9 meses",2025-02-17,,1,"W50 2022: La  propiedad solicita a anulacion del contrato por haber subarrenfdado a VDF sin su consentimiento",229676
RM,679,RM-679,SPA-MX,815,SPA-MX00815,Cerrado,"Delgado Alejandro","2024-01-17 10:49:08",2022-03-10,,2023-03-15,Propiedad,"criticidad muy alta < 3 meses",2023-04-29,,,"W10 2022: Se incluye el punto en riesgo, recibido burofax de rescisión con fecha de vencimiento 29/04/2023.",223307
RM,76,RM-76,SPA-BI,146,SPA-BI00146,Abierto,"Delgado Alejandro","2024-01-17 10:48:41",2023-01-01,,,"Otro Operador","criticidad muy alta < 3 meses",2023-04-16,,2,"Recibido burofax de rescision por parte de TI.",229839
RM,1832,RM-1832,SPA-CX,2014,SPA-CX02014,Cerrado,"Delgado Alejandro","2024-01-17 10:47:58",2023-07-14,,2023-12-27,Propiedad,"criticidad muy alta < 3 meses",2024-03-17,,,"Recibido burofax en tiempo y forma",234085
RM,9999,RM-9999,SPA-MU,6305,SPA-MU06305,Abierto,"Alexandre GOMBA","2024-01-17 10:47:41",2023-10-20,,,Propiedad,"criticidad baja > 9 meses",2026-06-17,,1,"No es viable incrementar la vigencia hasta 2031 siendo una instalación con una unidad móvil y no una infraestructura permanente viendo las condiciones que exige la propiedad. Vamos adelante con la firma del despliegue de la FO y tenemos que mirar de replegarnos en 2026 cuando venza el contrato.",235836
RM,1232,RM-1232,SPA-OR,8705,SPA-OR08705,Abierto,"Delgado Alejandro","2024-01-17 10:48:13",2023-05-10,,,"Propiedad, Despliegue","criticidad baja > 9 meses",2025-07-17,,1,"Tenemos esta RNG por ampliación y tras ofrecerle a la comunidad primero una subida del 10% y posteriormente tras la negativa un 20% a lo que nos dicen que la comunidad no va a aceptar la ampliación a no ser que la subida sea de un 30%. Vence 17/07/2025",232831
RM,194,RM-194,SPA-GC,194,SPA-GC00194,Abierto,"Alexandre GOMBA","2024-01-17 10:48:50",2022-10-21,,,"Propiedad, Despliegue","criticidad baja > 9 meses",2025-12-01,,2,"W42:Se incluye punto en riesgo. En este site, se tiene problemas de ruidos y trabajos parados porque la propiedad lleva un año quejándose; se replanteará y acordará una nueva ubicación con la propiedad..",228676
RM,10233,RM-10233,SPA-GI,8578,SPA-GI08578,Abierto,"Alexandre GOMBA","2024-01-28 22:56:45",2023-12-11,,,Propiedad,"criticidad media < 9 meses",2024-09-17,,1,"Recibido burofax en tiempo y forma en el que dejan clara su intención de rescindir",236605
RM,1360,RM-1360,SPA-BX,989,SPA-BX00989,Cerrado,"Delgado Alejandro","2024-01-17 10:50:37",2018-10-26,,2019-04-18,Legalización,"criticidad baja > 9 meses",2019-08-10,,,"Site pte  01/04/14: Afectada x Servidumbres Aeronáuticas. No se ha Presentado estudio --> La mantenemos en riesgo bajo",48394
RM,1413,RM-1413,SPA-CR,3108,SPA-CR03108,Cerrado,"Delgado Alejandro","2024-01-17 10:50:32",2018-10-26,,2018-11-15,Propiedad,"criticidad media < 9 meses",2019-07-30,,,,48466
RM,978,RM-978,SPA-TO,162,SPA-TO00162,Abierto,"Delgado Alejandro","2024-01-17 10:48:54",2022-08-09,,,"Otro Operador","criticidad muy alta < 3 meses",2023-07-29,,2,"W32: Se incluye el punto en riesgo,  cesión Telecom Ibérica.",227090
RM,130,RM-130,SPA-BX,525,SPA-BX00525,Cerrado,"Delgado Alejandro","2024-01-17 10:49:00",2022-06-10,,2023-09-08,Propiedad,"criticidad muy alta < 3 meses",2023-11-04,,,"W23 2022: Se incluye el punto en riesgo, por la situación del efificio con el bloqueo del acceso.",226082
RM,1251,RM-1251,SPA-VI,8624,SPA-VI08624,Cerrado,"Delgado Alejandro","2024-01-17 10:48:11",2023-05-11,,2023-10-26,Propiedad,"criticidad muy alta < 3 meses",2023-10-20,,,"ENVIADO BUROFAX EN TIEMPO Y FORMA",232878
RM,1108,RM-1108,SPA-ZX,34,SPA-ZX00034,Cerrado,"Delgado Alejandro","2024-01-17 10:48:50",2022-10-13,,2022-11-26,"Propiedad, Despliegue","criticidad baja > 9 meses",2033-12-22,,,"W41: Se incluye punto en riesgo; Propiedad envía burofax indicando que el sector 2 está en la propiedad del vecino y hay que reubicarlo para finalizar la rng.",228531
RM,339,RM-339,SPA-GC,22,SPA-GC00022,Abierto,"Delgado Alejandro","2024-01-28 22:03:03",2022-02-15,Si,,Propiedad,"criticidad muy alta < 3 meses",2024-04-09,,3,"W06: Se incluye el punto en riesgo para buscar alternativa más allá del 09/04/2024",222494
RM,21,RM-21,SPA-BA,114,SPA-BA00114,Cerrado,"Delgado Alejandro","2024-01-17 10:49:12",2022-02-25,,2023-10-23,"Propiedad, Despliegue","criticidad muy alta < 3 meses",2023-06-30,,2,"W08 2022: Se declara en riesgo el emplazamiento por los continuos bloqueos de acceso de la propiedad y los problemas que pone para ampliaciones porque se agarran a la literalidad del contrato original.",222830
RM,526,RM-526,SPA-JX,8508,SPA-JX08508,Abierto,"Delgado Alejandro","2024-01-17 10:49:34",2021-04-19,,,"Otro Operador","criticidad muy alta < 3 meses",2020-08-31,,2,"Se crea riego por denuncia del contrato de Telecom Ibérica en 2021.",190352
RM,10158,RM-10158,SPA-OX,8110,SPA-OX08110,Abierto,"Alexandre GOMBA","2024-01-17 10:47:35",2023-12-02,,,"Intervención de la Propiedad","criticidad muy alta < 3 meses",2024-02-26,,1,"Nos comunican derecho preferente de compra de una nave industrial por un importe de 160k€. No es una torre en la parcela no ubicada por la nave sino un mástil adosado y que ocupa espacio en la nave. Abrimos renego aunque vence en 2030",236447
RM,1630,RM-1630,SPA-MX,7373,SPA-MX07373,Cerrado,"Delgado Alejandro","2024-01-17 10:50:35",2018-10-26,,2018-12-20,Legalización,"criticidad muy alta < 3 meses",2019-01-02,,,,48420
RM,183,RM-183,SPA-BX,1522,SPA-BX01522,Abierto,"Delgado Alejandro","2024-01-18 23:51:36",2023-03-26,Si,,Propiedad,"criticidad muy alta < 3 meses",2023-11-07,,2,"La propiedad denuncia en forma y plazo",231830
RM,1095,RM-1095,SPA-VX,922,SPA-VX00922,Abierto,"Delgado Alejandro","2024-01-18 23:51:41",2022-12-20,,,Acometida,"criticidad muy alta < 3 meses",2023-05-19,,2,"W50 2022: Se delclara el punto en riesgo porque tenenos que conseguir acomeTida propia o el organismo pulbico nos cortara suministro.
Hemos solicitado a Roberto Mañanas que se pida suministro propio.. Caso que lo denieguen tenemos que aportarlo a la la Presidencia de la Confederación Hidrográfica del Júcar para que reclamen a IBERDROLA",229678
RM,1316,RM-1316,SPA-BA,358,SPA-BA00358,Cerrado,"Delgado Alejandro","2024-01-17 10:50:46",2018-10-26,,2023-10-09,Propiedad,"criticidad muy alta < 3 meses",2023-05-01,,,"Emplazamiento municipal en el mismo terreno donde está ubicado TME y el Ayto se niega a negociar. OSP está dando servicio sharing a VDF.",48300
RM,1105,RM-1105,SPA-VX,946,SPA-VX00946,Cerrado,"Delgado Alejandro","2024-01-17 10:49:55",2020-02-03,,2022-11-25,Propiedad,"criticidad muy alta < 3 meses",2022-06-30,,,"La Propiedad envía burofax de rescisión con fecha vencimiento 16/04/2020",117111
RM,1545,RM-1545,SPA-LU,8185,SPA-LU08185,Cerrado,"Delgado Alejandro","2024-01-17 10:50:11",2019-06-17,,2020-01-14,Legalización,"criticidad media < 9 meses",2020-02-21,,,"Repliegues: Gestion de riesgos",81419
RM,1369,RM-1369,SPA-CA,4253,SPA-CA04253,Abierto,"Delgado Alejandro","2024-01-28 23:12:36",2023-06-29,,,Propiedad,"criticidad alta < 6 meses",2024-05-05,,1,"No hay budrofax pero hay quejas de ruidos que hacen posible que corten el suninistro. Vence en 2027 pero la criticidad es alta",233813
